Variety,Type,Chill Hours,Pollination,Spacing,Notes
Nonpareil,Almond,300-400,Cross-pollination required,20 ft,"California standard, paper-shell, needs pollinizer (Carmel/Price), zones 6-9"
Carmel,Almond,300-400,Cross-pollination required,20 ft,"Pollinizer for Nonpareil, hard shell, high quality kernel, zones 6-9"
All-in-One,Almond,400-500,Self-fertile,15 ft,"SELF-FERTILE almond (rare), sweet kernel, semi-dwarf option, zones 5-9"
Chandler,Walnut,700-900,Self-fertile,40 ft,"English walnut, large light kernel, excellent quality, zones 5-9, 90% kernel yield"
Thomas,Walnut,500-700,Self-fertile,50 ft,"Black walnut, native, very cold hardy, smaller nut but rich flavor, timber value, zones 4-9"
Pawnee,Pecan,500-700,Cross-pollination required,40 ft,"Northern pecan, early harvest, scab resistant, zones 6-9, needs long season"
Desirable,Pecan,650-850,Cross-pollination required,40 ft,"Southern pecan, large nut, excellent quality, zones 7-9, alternate bearing"
Kanza,Pecan,500-700,Cross-pollination required,40 ft,"Disease resistant, consistent bearer, northern variety, zones 6-9"
Jefferson,Hazelnut,800-1200,Cross-pollination required,15 ft,"EFB resistant, large nut, excellent quality, zones 4-8, Oregon State University release"
Yamhill,Hazelnut,800-1200,Cross-pollination required,15 ft,"EFB resistant, high yields, pollinizer for Jefferson, zones 4-8"
Barcelona,Hazelnut,800-1000,Cross-pollination required,15 ft,"Traditional variety, large nut, susceptible to EFB (avoid in humid areas), zones 4-9"
Dunstan,Chestnut,400-600,Cross-pollination required,30 ft,"Blight-resistant hybrid, American x Chinese, sweet nut, zones 4-8, plant 2+ for nuts"
Colossal,Chestnut,500-700,Cross-pollination required,30 ft,"Very large nuts, European x Japanese hybrid, blight resistant, excellent roasting, zones 5-8"
