Variety,Type,Chill Hours,Pollination,Rootstock,Notes
Honeycrisp,Apple,800-1000,Cross-pollination required,M26 semi-dwarf,"Extremely popular, crisp sweet-tart, stores well, zones 3-6"
Gala,Apple,600-800,Cross-pollination required,M26 semi-dwarf,"Sweet mild flavor, early harvest, excellent fresh eating, zones 4-8"
Granny Smith,Apple,600-800,Cross-pollination required,M26 semi-dwarf,"Tart green apple, late harvest, best for baking and sauce, zones 5-9"
Bartlett,Pear,800-1000,Cross-pollination required,OHxF87 semi-dwarf,"Classic pear, buttery texture, canning variety, harvest green and ripen indoors, zones 5-7"
Anjou,Pear,600-800,Cross-pollination required,OHxF87 semi-dwarf,"Sweet mild flavor, keeps well in storage, excellent fresh eating, zones 5-8"
Bing,Cherry-Sweet,700-900,Cross-pollination required,Gisela 6 semi-dwarf,"Large dark sweet cherry, needs pollinizer (Stella/Rainier), zones 5-8, bird netting essential"
Montmorency,Cherry-Sour,1000-1200,Self-fertile,Natural,"BEST pie cherry, self-fertile (only need 1 tree), cold hardy, zones 4-7"
Stanley,Plum,800-1000,Self-fertile,Citation semi-dwarf,"European prune plum, excellent for drying, sweet dark flesh, zones 5-8"
Santa Rosa,Plum,400-500,Cross-pollination helpful,Citation semi-dwarf,"Japanese plum, large juicy fruit, early harvest, zones 5-9"
Redhaven,Peach,850-950,Self-fertile,Lovell semi-dwarf,"Classic peach, yellow freestone, reliable producer, zones 5-8"
Elberta,Peach,800-900,Self-fertile,Lovell semi-dwarf,"Large yellow peach, freestone, excellent for canning and freezing, zones 5-9"
Moorpark,Apricot,600-900,Self-fertile,Citation semi-dwarf,"Large sweet apricot, excellent for fresh eating and drying, zones 4-8"
Brown Turkey,Fig,100-300,Self-fertile,Own-root,"Cold hardy fig, zones 7-10 (zone 6 with protection), container-friendly"
Chicago Hardy,Fig,100-300,Self-fertile,Own-root,"MOST cold hardy fig, zones 6-10, can die back and regrow from roots"
Meader,Persimmon,500-700,Self-fertile,Seedling,"American persimmon, very cold hardy to -25F, zones 4-9, high nutrition"
