Variety,Type,Days to Maturity,Soil Temp Sowing F,Notes
Black Seeded Simpson,Looseleaf,46-50,40-75,"Early, frilly green leaves"
Grand Rapids,Looseleaf,42-60,40-75,Quick spring/fall variety
Slobolt,Looseleaf,45-60,40-75,Slow to bolt
Salad Bowl (green),Looseleaf,45-50,40-75,Cut-and-come-again
Red Salad Bowl,Looseleaf,45-50,40-75,Red version Salad Bowl
Red Sails,Looseleaf,53,40-75,"Frilly red, slow to bolt"
New Red Fire,Looseleaf,45,40-75,Heat tolerant
Emerald Fan,Looseleaf,50,50-75,Compact green leaf
Jester,Looseleaf,45-55,40-75,Looseleaf example
Parris Island Cos,Romaine,68-70,40-75,Standard romaine
Little Gem,Romaine mini,50,40-75,Small sweet romaine
Buttercrunch,Butterhead,60-70,40-75,Popular Bibb type
Esmeralda,Butterhead,50-70,40-75,Bolt-tolerant
Great Lakes 118,Crisphead,70-90,40-75,Classic iceberg
Ithaca,Crisphead,65-75,40-75,Compact ball head
Salinas,Crisphead,70-80,40-75,Heat tolerant iceberg
Coastline,Summer crisp,35-55,40-75,Batavian type
Sierra Batavia,Summer crisp,60-65,40-75,Slow to bolt
